Sleep On, Date, Hour, Real (out), Imaginary (out)
0,Apr 01 - 2018,23:06,0.0000000000,0.0000000000
0,Apr 01 - 2018,23:09,0.0000000000,0.0000000000
0,Apr 01 - 2018,23:12,0.0000000000,0.0000000000
0,Apr 01 - 2018,23:15,0.0000000000,0.0000000000
0,Apr 01 - 2018,23:18,0.0000000000,0.0000000000
0,Apr 01 - 2018,23:21,0.0000000000,0.0000000000
0,Apr 01 - 2018,23:24,0.0000000000,0.0000000000
0,Apr 01 - 2018,23:27,0.0000000000,0.0000000000
0,Apr 01 - 2018,23:30,0.0000000000,0.0000000000
0,Apr 01 - 2018,23:33,0.0000000000,0.0000000000
0,Apr 01 - 2018,23:36,0.0000000000,0.0000000000
0,Apr 01 - 2018,23:39,0.0000000000,0.0000000000
0,Apr 01 - 2018,23:42,0.0000000000,0.0000000000
0,Apr 01 - 2018,23:45,0.0000000000,0.0000000000
0,Apr 01 - 2018,23:48,0.0000000000,0.0000000000
0,Apr 01 - 2018,23:51,0.0000000000,0.0000000000
0,Apr 01 - 2018,23:54,0.0000000000,0.0000000000
0,Apr 01 - 2018,23:57,0.0000000000,0.0000000000
0,Apr 02 - 2018,0:00,0.0000000000,0.0000000000
0,Apr 02 - 2018,0:03,0.0000000000,0.0000000000
0,Apr 02 - 2018,0:06,0.0000000000,0.0000000000
0,Apr 02 - 2018,0:09,0.0000000000,0.0000000000
0,Apr 02 - 2018,0:12,0.0000000000,0.0000000000
0,Apr 02 - 2018,0:15,0.0000000000,0.0000000000
0,Apr 02 - 2018,0:18,0.0000000000,0.0000000000
0,Apr 02 - 2018,0:21,0.0000000000,0.0000000000
0,Apr 02 - 2018,0:24,0.0000000000,0.0000000000
0,Apr 02 - 2018,0:27,0.0000000000,0.0000000000
0,Apr 02 - 2018,0:30,0.0000000000,0.0000000000
0,Apr 02 - 2018,0:33,0.0000000000,0.0000000000
0,Apr 02 - 2018,0:36,0.0000000000,0.0000000000
0,Apr 02 - 2018,0:39,0.0000000000,0.0000000000
0,Apr 02 - 2018,0:42,0.0000000000,0.0000000000
0,Apr 02 - 2018,0:45,0.0000000000,0.0000000000
0,Apr 02 - 2018,0:48,0.0000000000,0.0000000000
0,Apr 02 - 2018,0:51,0.0000000000,0.0000000000
0,Apr 02 - 2018,0:54,0.0000000000,0.0000000000
0,Apr 02 - 2018,0:57,0.0000000000,0.0000000000
